distance(cm);start;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;end;index;code
150;8122;1533;1533;526;527;526;527;526;1533;1533;1542;526;527;529;1533;1533;1533;1533;1533;526;527;535;526;526;527;526;536;1533;1533;1533;1533;1533;1533;921;4;s11000001110001111100e0000e111111t;
150;8128;1533;1533;526;527;572;581;527;1524;1524;1534;536;527;581;1542;1533;1536;1533;1524;536;536;518;527;517;526;527;517;1533;1533;1533;1533;1532;1533;920;5;s1100ee0111e0e11111ee000000111111t;
150;8131;1533;1542;536;526;536;526;527;1533;1533;1524;527;527;518;1524;1524;1533;1533;1533;527;527;527;518;573;527;536;526;1533;1533;1533;1543;1541;1534;930;6;s11e0e00111000111110000e0e0111111t;
150;8128;1533;1525;527;527;536;526;490;1542;1542;1542;526;536;526;1533;1533;1533;1533;1533;526;527;529;526;536;527;527;535;1533;1533;1526;1533;1533;1533;919;7;s1100e0e1110e0111110000e00e111111t;
150;8127;1533;1543;527;527;527;527;527;1534;1542;1533;803;536;527;1586;1534;1533;1524;1533;573;517;536;527;536;527;527;527;1534;1533;1525;1532;1592;1530;929;8;s1100000111ee0e1111e0e0e0001111e1t;
150;8130;1533;1533;527;526;520;527;527;1533;1533;1533;526;527;581;1533;1542;1533;1533;1533;526;536;526;517;526;517;526;527;1534;1524;1524;1524;1542;1542;920;9;s110000011100e111110e000000111111t;
150;8123;1533;1525;527;527;582;527;528;1534;1534;1533;601;582;527;1531;1534;1533;1533;1973;526;526;526;270;527;529;518;527;1588;1533;1525;1525;1524;1534;930;10;s1100e00111ee01111e000e0000e11111t;
150;8123;1536;1542;527;535;535;512;536;1533;1532;1533;526;526;526;1533;1534;1534;1533;1533;527;527;527;517;526;526;526;526;1533;1525;1524;1534;1533;1542;929;11;s110eeee1110001111100000000111111t;
150;8121;1543;1537;527;527;527;518;527;1533;1533;1533;517;527;517;1535;1533;1542;1533;1533;526;527;527;518;527;527;527;527;1534;1533;1524;1533;1533;1533;929;12;s11000001110001111100000000111111t;
150;8123;1534;1533;518;527;518;526;572;1524;1524;1524;536;527;536;1533;1533;1533;1533;1534;527;527;527;525;526;526;526;536;1533;1533;1533;1533;1534;1534;920;13;s110000e111e0e111110000000e111111t;
150;8125;1537;1536;530;531;530;530;531;1528;1528;1527;531;530;517;1537;1537;1528;1537;1536;521;530;521;530;530;521;530;521;1527;1537;1537;1537;1537;1537;932;14;s11000001110001111100000000111111t;
150;8124;1533;1524;527;527;517;527;527;1524;1524;1533;536;527;536;1549;1534;1534;1533;1533;527;527;527;572;518;527;527;527;1533;1533;1533;1524;1524;1524;920;15;s1100000111e0ee1111000e0000111111t;
150;8125;1537;1536;530;539;521;521;530;1537;1528;1527;521;530;530;1527;1528;1537;1536;1537;530;530;531;521;530;521;530;530;1527;1528;1528;1527;1537;1542;923;16;s110e0001110001111100000000111111t;
150;8130;1542;1533;527;536;527;526;536;1533;1533;1533;536;526;527;1548;1533;1542;1542;1533;527;536;527;536;527;527;527;527;1533;1524;1524;1587;1543;1534;929;17;s110e00e111e00e11110e0e0000111e11t;
150;8122;1534;1533;527;536;527;536;527;1533;1534;1533;527;527;527;1533;1534;1534;1533;1534;536;527;527;527;527;527;527;518;1534;1533;1533;1534;1534;1533;930;18;s110e0e011100011111e0000000111111t;
150;8133;1533;1533;535;526;536;527;526;1542;1543;1552;526;535;527;1532;1533;1524;1533;1533;527;518;527;527;527;527;518;527;1533;1525;1525;1549;1533;1542;920;19;s11e0e0011e0e01111100000000111e11t;
150;8122;1529;1533;536;527;518;526;527;1533;1533;1542;526;527;535;1542;1533;1533;1533;1533;536;527;526;528;581;527;526;536;1533;1533;1533;1533;1532;1533;929;20;s11e000011100e11111e000e00e111111t;
150;8117;1527;1528;530;530;522;539;522;1528;1537;1536;531;521;530;1527;1528;1528;1527;1528;530;521;521;530;585;530;530;530;1537;1527;1537;1537;1536;1537;933;21;s11000e0111000111110000e000111111t;
150;8120;1533;1588;536;527;536;527;527;1533;1542;1533;526;536;527;1534;1533;1524;1524;1535;527;694;527;527;582;526;526;527;1533;1534;1534;1525;1525;1534;929;22;s1ee0e001110e0111110e00e000111111t;
150;8131;1543;1533;527;527;527;527;536;1533;1533;1533;527;527;527;1525;1525;1525;1534;1542;527;527;527;520;535;527;536;526;1533;1534;1533;1524;1533;1533;920;23;s110000e111000111110000e0e0111111t;
150;8124;1533;1524;527;526;517;526;527;1523;1524;1533;526;518;526;1532;1533;1533;1534;1524;527;527;518;527;518;536;527;536;1543;1533;1534;1533;1533;1534;920;24;s11000001110001111100000e0e111111t;
